id,company_id,product_id,category_id,display_order,created_at
07bca70f-bc94-4a5a-b798-5e0cf883898c,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,62f5a6af-9f8f-4e65-8cbb-b28960428095,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
0a75328b-e91d-4017-a3b3-b5abd5b5532c,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,bb6e46f5-cb9b-4584-ada5-f6fa4ba0c0c4,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
17fa8757-45ed-4f2b-8d33-38a932f24ed8,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,8f811b06-e01d-4c9d-ac39-c115f984e9e0,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
19676524-cea9-4cd2-9681-7ab210aac000,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,6a3c9327-a8db-4e00-9c03-4be23efa97c4,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
2028af73-736e-4218-8333-0827676fd71d,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,bc7408d9-4570-416a-9165-23acf691f900,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
23170639-e551-4b1e-bd9a-5ef463ddfe67,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,eaeb26d4-6ae6-47b7-91f4-b5fbe62c2074,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
2e5ee684-3964-43ec-a1c1-e038001cfba1,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,16253051-9c74-4186-bb40-1a4ebe557e0e,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
44d69417-562c-4254-87c5-79df5c2adf8c,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,0574f75b-831b-4318-8738-8d4e16a3d187,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
4d21a4e1-86a1-45e2-a46b-60cf9c026b4a,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,65979add-7495-4d72-bbfa-ad3a33a98c34,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
5738b6c0-d5aa-42d6-b827-0b61103403d9,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,c6db8aea-a283-447d-bb63-ec0729d0c780,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
589600ff-fb30-4ee2-8338-0dd3d6b02f35,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,a20c7f2e-3dc0-4bf7-a2a0-e19f6f2c3104,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
83422025-c4a6-4b45-992c-ea20087979f1,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,9fbd879b-fa2e-4964-b90f-2109757cace4,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
91aaa2f7-bf48-41a8-aa3a-8ab8b14c7554,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,055223ff-201f-4f1b-bf5e-3f637ffe2ee1,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
966307cd-e440-4dbb-ba04-cd3d418bb3e3,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,6f4c6376-156f-4000-8318-3dac7e2d794e,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
a18f63bb-00b3-406c-9824-97a1362b3b55,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,c10235aa-d646-4e6d-9967-de4774e7785d,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
a67fa248-3513-4d52-a6b7-16df17c10564,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,dec25300-bdaf-4bd5-aa4f-2194f8942a89,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
b4bfb14d-518a-41a3-858e-6ebe9420ac55,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,78f96794-4222-4ae9-8444-981d1a835351,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
cbf046ef-3815-4cf9-85d5-9f10ca7456a9,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,27dc665d-ea7a-4611-a529-ee615e54ee42,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
df769c06-7c36-466c-9c33-6e9c87966043,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,4073b9fe-ab52-4857-9268-d83b5178f31f,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
e840205a-f683-4610-b521-87a5d9d75561,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,ceb467e4-4843-4438-8a69-eb9e247b6b42,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
fe5dc84d-e6b5-4408-98e9-ab13f9d7e407,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,993de810-f43a-4ef6-a508-f5e8d46225cf,11111111-1111-4111-a111-111111111111,1,2026-09-11 12:12:28.861731+00
